Date;home;visitor;hgoal;vgoal;division
03.11.2013;FC Augsburg;1. FSV Mainz 05;2;1;1
03.11.2013;Werder Bremen;Hannover 96;3;2;1
08.11.2013;Hannover 96;Eintracht Braunschweig;0;0;1
09.11.2013;Bayern Munchen;FC Augsburg;3;0;1
09.11.2013;FC Schalke 04;Werder Bremen;3;1;1
09.11.2013;Bayer Leverkusen;Hamburger SV;5;3;1
09.11.2013;VfL Wolfsburg;Borussia Dortmund;2;1;1
09.11.2013;1899 Hoffenheim;Hertha BSC;2;3;1
09.11.2013;Bor. Monchengladbach;1. FC Nurnberg;3;1;1
10.11.2013;1. FSV Mainz 05;Eintracht Frankfurt;1;0;1
10.11.2013;SC Freiburg;VfB Stuttgart;1;3;1
22.11.2013;VfB Stuttgart;Bor. Monchengladbach;0;2;1
23.11.2013;1. FC Nurnberg;VfL Wolfsburg;1;1;1
23.11.2013;FC Augsburg;1899 Hoffenheim;2;0;1
23.11.2013;Eintracht Braunschweig;SC Freiburg;0;1;1
23.11.2013;Eintracht Frankfurt;FC Schalke 04;3;3;1
23.11.2013;Hertha BSC;Bayer Leverkusen;0;1;1
23.11.2013;Borussia Dortmund;Bayern Munchen;0;3;1
24.11.2013;Hamburger SV;Hannover 96;3;1;1
24.11.2013;Werder Bremen;1. FSV Mainz 05;2;3;1
29.11.2013;VfL Wolfsburg;Hamburger SV;1;1;1
30.11.2013;Bayern Munchen;Eintracht Braunschweig;2;0;1
30.11.2013;Bayer Leverkusen;1. FC Nurnberg;3;0;1
30.11.2013;1899 Hoffenheim;Werder Bremen;4;4;1
30.11.2013;1. FSV Mainz 05;Borussia Dortmund;1;3;1
30.11.2013;Hertha BSC;FC Augsburg;0;0;1
30.11.2013;FC Schalke 04;VfB Stuttgart;3;0;1
01.12.2013;Hannover 96;Eintracht Frankfurt;2;0;1
01.12.2013;Bor. Monchengladbach;SC Freiburg;1;0;1
06.12.2013;1. FC Nurnberg;1. FSV Mainz 05;1;1;1
07.12.2013;Bor. Monchengladbach;FC Schalke 04;2;1;1
07.12.2013;VfB Stuttgart;Hannover 96;4;2;1
07.12.2013;Werder Bremen;Bayern Munchen;0;7;1
07.12.2013;Hamburger SV;FC Augsburg;0;1;1
07.12.2013;Eintracht Frankfurt;1899 Hoffenheim;1;2;1
07.12.2013;Borussia Dortmund;Bayer Leverkusen;0;1;1
08.12.2013;SC Freiburg;VfL Wolfsburg;0;3;1
08.12.2013;Eintracht Braunschweig;Hertha BSC;0;2;1
13.12.2013;Hertha BSC;Werder Bremen;3;2;1
14.12.2013;Bayern Munchen;Hamburger SV;3;1;1
14.12.2013;Hannover 96;1. FC Nurnberg;3;3;1
14.12.2013;1899 Hoffenheim;Borussia Dortmund;2;2;1
14.12.2013;1. FSV Mainz 05;Bor. Monchengladbach;0;0;1
14.12.2013;FC Augsburg;Eintracht Braunschweig;4;1;1
14.12.2013;VfL Wolfsburg;VfB Stuttgart;3;1;1
15.12.2013;FC Schalke 04;SC Freiburg;2;0;1
15.12.2013;Bayer Leverkusen;Eintracht Frankfurt;0;1;1
20.12.2013;Eintracht Frankfurt;FC Augsburg;1;1;1
21.12.2013;Borussia Dortmund;Hertha BSC;1;2;1
21.12.2013;Werder Bremen;Bayer Leverkusen;1;0;1
21.12.2013;SC Freiburg;Hannover 96;2;1;1
21.12.2013;Hamburger SV;1. FSV Mainz 05;2;3;1
21.12.2013;Eintracht Braunschweig;1899 Hoffenheim;1;0;1
21.12.2013;1. FC Nurnberg;FC Schalke 04;0;0;1
22.12.2013;Bor. Monchengladbach;VfL Wolfsburg;2;2;1
29.01.2014;VfB Stuttgart;Bayern Munchen;1;2;1
24.01.2014;Bor. Monchengladbach;Bayern Munchen;0;2;1
25.01.2014;SC Freiburg;Bayer Leverkusen;3;2;1
25.01.2014;VfL Wolfsburg;Hannover 96;1;3;1
25.01.2014;1. FC Nurnberg;1899 Hoffenheim;4;0;1
25.01.2014;VfB Stuttgart;1. FSV Mainz 05;1;2;1
25.01.2014;Borussia Dortmund;FC Augsburg;2;2;1
25.01.2014;Eintracht Frankfurt;Hertha BSC;1;0;1
26.01.2014;Werder Bremen;Eintracht Braunschweig;0;0;1
26.01.2014;Hamburger SV;FC Schalke 04;0;3;1
31.01.2014;Eintracht Braunschweig;Borussia Dortmund;1;2;1
01.02.2014;Bayer Leverkusen;VfB Stuttgart;2;1;1
01.02.2014;FC Schalke 04;VfL Wolfsburg;2;1;1
01.02.2014;FC Augsburg;Werder Bremen;3;1;1
01.02.2014;1. FSV Mainz 05;SC Freiburg;2;0;1
01.02.2014;1899 Hoffenheim;Hamburger SV;3;0;1
01.02.2014;Hannover 96;Bor. Monchengladbach;3;1;1
02.02.2014;Hertha BSC;1. FC Nurnberg;1;3;1
02.02.2014;Bayern Munchen;Eintracht Frankfurt;5;0;1
07.02.2014;Bor. Monchengladbach;Bayer Leverkusen;0;1;1
08.02.2014;Werder Bremen;Borussia Dortmund;1;5;1
08.02.2014;1. FC Nurnberg;Bayern Munchen;0;2;1
08.02.2014;SC Freiburg;1899 Hoffenheim;1;1;1
08.02.2014;VfL Wolfsburg;1. FSV Mainz 05;3;0;1
08.02.2014;Eintracht Frankfurt;Eintracht Braunschweig;3;0;1
08.02.2014;Hamburger SV;Hertha BSC;0;3;1
09.02.2014;VfB Stuttgart;FC Augsburg;1;4;1
09.02.2014;FC Schalke 04;Hannover 96;2;0;1
14.02.2014;1. FSV Mainz 05;Hannover 96;2;0;1
15.02.2014;Werder Bremen;Bor. Monchengladbach;1;1;1
15.02.2014;1899 Hoffenheim;VfB Stuttgart;4;1;1
15.02.2014;Bayern Munchen;SC Freiburg;4;0;1
15.02.2014;Eintracht Braunschweig;Hamburger SV;4;2;1
15.02.2014;Borussia Dortmund;Eintracht Frankfurt;4;0;1
15.02.2014;Bayer Leverkusen;FC Schalke 04;1;2;1
16.02.2014;FC Augsburg;1. FC Nurnberg;0;1;1
16.02.2014;Hertha BSC;VfL Wolfsburg;1;2;1
21.02.2014;FC Schalke 04;1. FSV Mainz 05;0;0;1
22.02.2014;Hamburger SV;Borussia Dortmund;3;0;1
22.02.2014;Bor. Monchengladbach;1899 Hoffenheim;2;2;1
22.02.2014;SC Freiburg;FC Augsburg;2;4;1
22.02.2014;1. FC Nurnberg;Eintracht Braunschweig;2;1;1
22.02.2014;VfB Stuttgart;Hertha BSC;1;2;1
22.02.2014;VfL Wolfsburg;Bayer Leverkusen;3;1;1
23.02.2014;Eintracht Frankfurt;Werder Bremen;0;0;1
23.02.2014;Hannover 96;Bayern Munchen;0;4;1
28.02.2014;Hertha BSC;SC Freiburg;0;0;1
01.03.2014;Eintracht Braunschweig;Bor. Monchengladbach;1;1;1
01.03.2014;FC Augsburg;Hannover 96;1;1;1
01.03.2014;Borussia Dortmund;1. FC Nurnberg;3;0;1
01.03.2014;Bayer Leverkusen;1. FSV Mainz 05;0;1;1
01.03.2014;Werder Bremen;Hamburger SV;1;0;1
01.03.2014;Bayern Munchen;FC Schalke 04;5;1;1
02.03.2014;1899 Hoffenheim;VfL Wolfsburg;6;2;1
02.03.2014;Eintracht Frankfurt;VfB Stuttgart;2;1;1
08.03.2014;VfL Wolfsburg;Bayern Munchen;1;6;1
08.03.2014;Hannover 96;Bayer Leverkusen;1;1;1
08.03.2014;FC Schalke 04;1899 Hoffenheim;4;0;1
08.03.2014;Bor. Monchengladbach;FC Augsburg;1;2;1
08.03.2014;VfB Stuttgart;Eintracht Braunschweig;2;2;1
08.03.2014;Hamburger SV;Eintracht Frankfurt;1;1;1
08.03.2014;1. FC Nurnberg;Werder Bremen;0;2;1
09.03.2014;SC Freiburg;Borussia Dortmund;0;1;1
09.03.2014;1. FSV Mainz 05;Hertha BSC;1;1;1
14.03.2014;FC Augsburg;FC Schalke 04;1;2;1
15.03.2014;Borussia Dortmund;Bor. Monchengladbach;1;2;1
15.03.2014;Werder Bremen;VfB Stuttgart;1;1;1
15.03.2014;Hertha BSC;Hannover 96;0;3;1
15.03.2014;Eintracht Braunschweig;VfL Wolfsburg;1;1;1
15.03.2014;1899 Hoffenheim;1. FSV Mainz 05;2;4;1
15.03.2014;Bayern Munchen;Bayer Leverkusen;2;1;1
16.03.2014;Hamburger SV;1. FC Nurnberg;2;1;1
16.03.2014;Eintracht Frankfurt;SC Freiburg;1;4;1
21.03.2014;SC Freiburg;Werder Bremen;3;1;1
22.03.2014;Hannover 96;Borussia Dortmund;0;3;1
22.03.2014;1. FSV Mainz 05;Bayern Munchen;0;2;1
22.03.2014;VfL Wolfsburg;FC Augsburg;1;1;1
22.03.2014;VfB Stuttgart;Hamburger SV;1;0;1
22.03.2014;FC Schalke 04;Eintracht Braunschweig;3;1;1
22.03.2014;Bor. Monchengladbach;Hertha BSC;3;0;1
23.03.2014;1. FC Nurnberg;Eintracht Frankfurt;2;5;1
23.03.2014;Bayer Leverkusen;1899 Hoffenheim;2;3;1
25.03.2014;Hertha BSC;Bayern Munchen;1;3;1
25.03.2014;Borussia Dortmund;FC Schalke 04;0;0;1
25.03.2014;Werder Bremen;VfL Wolfsburg;1;3;1
25.03.2014;Eintracht Braunschweig;1. FSV Mainz 05;3;1;1
26.03.2014;Eintracht Frankfurt;Bor. Monchengladbach;1;0;1
26.03.2014;FC Augsburg;Bayer Leverkusen;1;3;1
26.03.2014;1. FC Nurnberg;VfB Stuttgart;2;0;1
26.03.2014;1899 Hoffenheim;Hannover 96;3;1;1
26.03.2014;Hamburger SV;SC Freiburg;1;1;1
28.03.2014;FC Schalke 04;Hertha BSC;2;0;1
29.03.2014;VfB Stuttgart;Borussia Dortmund;2;3;1
29.03.2014;Bayern Munchen;1899 Hoffenheim;3;3;1
29.03.2014;1. FSV Mainz 05;FC Augsburg;3;0;1
29.03.2014;Bayer Leverkusen;Eintracht Braunschweig;1;1;1
29.03.2014;VfL Wolfsburg;Eintracht Frankfurt;2;1;1
29.03.2014;SC Freiburg;1. FC Nurnberg;3;2;1
30.03.2014;Bor. Monchengladbach;Hamburger SV;3;1;1
30.03.2014;Hannover 96;Werder Bremen;1;2;1
04.04.2014;Hamburger SV;Bayer Leverkusen;2;1;1
05.04.2014;FC Augsburg;Bayern Munchen;1;0;1
05.04.2014;Werder Bremen;FC Schalke 04;1;1;1
05.04.2014;1. FC Nurnberg;Bor. Monchengladbach;0;2;1
05.04.2014;VfB Stuttgart;SC Freiburg;2;0;1
05.04.2014;Eintracht Frankfurt;1. FSV Mainz 05;2;0;1
05.04.2014;Borussia Dortmund;VfL Wolfsburg;2;1;1
06.04.2014;Eintracht Braunschweig;Hannover 96;3;0;1
06.04.2014;Hertha BSC;1899 Hoffenheim;1;1;1
11.04.2014;FC Schalke 04;Eintracht Frankfurt;2;0;1
12.04.2014;1. FSV Mainz 05;Werder Bremen;3;0;1
12.04.2014;VfL Wolfsburg;1. FC Nurnberg;4;1;1
12.04.2014;Hannover 96;Hamburger SV;2;1;1
12.04.2014;SC Freiburg;Eintracht Braunschweig;2;0;1
