Date;home;visitor;hgoal;vgoal;division
08.11.2013;SpVgg Greuther Furth;SC Paderborn 07;3;0;2
08.11.2013;FSV Frankfurt;1. FC Kaiserslautern;0;4;2
08.11.2013;FC Ingolstadt 04;VfR Aalen;2;0;2
09.11.2013;1. FC Union Berlin;Karlsruher SC;0;0;2
09.11.2013;Arminia Bielefeld;1860 Munchen;0;1;2
10.11.2013;Fortuna Dusseldorf;SV Sandhausen;1;0;2
10.11.2013;VfL Bochum;1. FC Koln;1;0;2
10.11.2013;Dynamo Dresden;Erzgebirge Aue;1;1;2
11.11.2013;FC St. Pauli;Energie Cottbus;3;0;2
22.11.2013;Energie Cottbus;FSV Frankfurt;1;4;2
22.11.2013;SV Sandhausen;SC Paderborn 07;3;2;2
22.11.2013;Arminia Bielefeld;VfL Bochum;0;2;2
23.11.2013;1. FC Kaiserslautern;1. FC Union Berlin;3;0;2
23.11.2013;1. FC Koln;FC Ingolstadt 04;0;1;2
24.11.2013;VfR Aalen;FC St. Pauli;0;1;2
24.11.2013;Erzgebirge Aue;Fortuna Dusseldorf;3;0;2
24.11.2013;Karlsruher SC;Dynamo Dresden;3;0;2
25.11.2013;1860 Munchen;SpVgg Greuther Furth;1;0;2
29.11.2013;Fortuna Dusseldorf;Karlsruher SC;0;2;2
29.11.2013;1. FC Union Berlin;VfR Aalen;1;3;2
29.11.2013;FC St. Pauli;1. FC Koln;0;3;2
30.11.2013;FC Ingolstadt 04;SV Sandhausen;0;2;2
30.11.2013;Dynamo Dresden;1. FC Kaiserslautern;3;2;2
01.12.2013;SpVgg Greuther Furth;Energie Cottbus;1;0;2
01.12.2013;SC Paderborn 07;Erzgebirge Aue;1;1;2
01.12.2013;VfL Bochum;1860 Munchen;1;2;2
02.12.2013;FSV Frankfurt;Arminia Bielefeld;1;2;2
06.12.2013;Erzgebirge Aue;FC St. Pauli;0;2;2
06.12.2013;Karlsruher SC;VfL Bochum;0;0;2
06.12.2013;Arminia Bielefeld;Dynamo Dresden;1;1;2
07.12.2013;1. FC Koln;FSV Frankfurt;2;0;2
07.12.2013;1860 Munchen;1. FC Union Berlin;2;1;2
08.12.2013;Energie Cottbus;FC Ingolstadt 04;1;2;2
08.12.2013;VfR Aalen;SC Paderborn 07;2;4;2
08.12.2013;SV Sandhausen;SpVgg Greuther Furth;1;3;2
09.12.2013;1. FC Kaiserslautern;Fortuna Dusseldorf;0;1;2
13.12.2013;1. FC Kaiserslautern;SC Paderborn 07;0;1;2
13.12.2013;1. FC Koln;Dynamo Dresden;3;1;2
13.12.2013;VfR Aalen;SV Sandhausen;0;0;2
14.12.2013;Energie Cottbus;Fortuna Dusseldorf;1;3;2
14.12.2013;VfL Bochum;1. FC Union Berlin;0;4;2
15.12.2013;Erzgebirge Aue;FC Ingolstadt 04;0;0;2
15.12.2013;Karlsruher SC;FSV Frankfurt;3;3;2
15.12.2013;Arminia Bielefeld;SpVgg Greuther Furth;4;1;2
16.12.2013;1860 Munchen;FC St. Pauli;0;2;2
20.12.2013;FC St. Pauli;Karlsruher SC;0;2;2
20.12.2013;SV Sandhausen;Erzgebirge Aue;1;0;2
20.12.2013;Dynamo Dresden;VfL Bochum;0;0;2
21.12.2013;FSV Frankfurt;1860 Munchen;2;2;2
21.12.2013;1. FC Union Berlin;Arminia Bielefeld;4;2;2
22.12.2013;SpVgg Greuther Furth;VfR Aalen;1;0;2
22.12.2013;SC Paderborn 07;Energie Cottbus;1;0;2
22.12.2013;Fortuna Dusseldorf;1. FC Koln;2;3;2
23.12.2013;FC Ingolstadt 04;1. FC Kaiserslautern;1;2;2
07.02.2014;Energie Cottbus;SV Sandhausen;0;1;2
07.02.2014;VfR Aalen;Erzgebirge Aue;2;2;2
07.02.2014;VfL Bochum;FSV Frankfurt;1;2;2
08.02.2014;1. FC Kaiserslautern;SpVgg Greuther Furth;2;1;2
08.02.2014;1. FC Union Berlin;Dynamo Dresden;0;0;2
09.02.2014;1. FC Koln;SC Paderborn 07;0;1;2
09.02.2014;Karlsruher SC;FC Ingolstadt 04;1;1;2
09.02.2014;Arminia Bielefeld;FC St. Pauli;2;2;2
10.02.2014;1860 Munchen;Fortuna Dusseldorf;1;1;2
14.02.2014;Fortuna Dusseldorf;1. FC Union Berlin;1;1;2
14.02.2014;SpVgg Greuther Furth;Karlsruher SC;1;1;2
14.02.2014;FC Ingolstadt 04;1860 Munchen;2;0;2
15.02.2014;FSV Frankfurt;Dynamo Dresden;3;2;2
15.02.2014;FC St. Pauli;VfL Bochum;0;1;2
16.02.2014;VfR Aalen;Energie Cottbus;2;2;2
16.02.2014;SV Sandhausen;1. FC Koln;0;1;2
16.02.2014;SC Paderborn 07;Arminia Bielefeld;4;0;2
17.02.2014;Erzgebirge Aue;1. FC Kaiserslautern;1;0;2
21.02.2014;1. FC Union Berlin;FSV Frankfurt;2;0;2
21.02.2014;Energie Cottbus;Erzgebirge Aue;2;3;2
21.02.2014;Arminia Bielefeld;FC Ingolstadt 04;0;2;2
22.02.2014;1860 Munchen;SC Paderborn 07;2;2;2
22.02.2014;Karlsruher SC;SV Sandhausen;2;1;2
23.02.2014;1. FC Kaiserslautern;VfR Aalen;1;2;2
23.02.2014;VfL Bochum;Fortuna Dusseldorf;0;0;2
23.02.2014;Dynamo Dresden;FC St. Pauli;1;2;2
24.02.2014;1. FC Koln;SpVgg Greuther Furth;1;1;2
28.02.2014;Fortuna Dusseldorf;Arminia Bielefeld;2;0;2
28.02.2014;Energie Cottbus;1. FC Kaiserslautern;1;0;2
28.02.2014;SC Paderborn 07;VfL Bochum;4;1;2
01.03.2014;SV Sandhausen;1860 Munchen;0;0;2
01.03.2014;Erzgebirge Aue;1. FC Koln;2;2;2
02.03.2014;SpVgg Greuther Furth;FSV Frankfurt;3;2;2
02.03.2014;VfR Aalen;Karlsruher SC;1;0;2
02.03.2014;FC Ingolstadt 04;Dynamo Dresden;1;1;2
03.03.2014;FC St. Pauli;1. FC Union Berlin;2;1;2
07.03.2014;1. FC Kaiserslautern;SV Sandhausen;2;1;2
07.03.2014;1860 Munchen;VfR Aalen;4;0;2
07.03.2014;1. FC Koln;Energie Cottbus;2;1;2
08.03.2014;1. FC Union Berlin;FC Ingolstadt 04;1;1;2
08.03.2014;Arminia Bielefeld;Erzgebirge Aue;1;0;2
09.03.2014;FSV Frankfurt;FC St. Pauli;1;0;2
09.03.2014;Dynamo Dresden;Fortuna Dusseldorf;1;1;2
09.03.2014;Karlsruher SC;SC Paderborn 07;4;0;2
10.03.2014;VfL Bochum;SpVgg Greuther Furth;0;2;2
14.03.2014;VfR Aalen;VfL Bochum;0;2;2
14.03.2014;SC Paderborn 07;Dynamo Dresden;2;1;2
14.03.2014;FC Ingolstadt 04;FSV Frankfurt;0;1;2
15.03.2014;Energie Cottbus;Karlsruher SC;1;0;2
15.03.2014;Erzgebirge Aue;1860 Munchen;2;2;2
16.03.2014;Fortuna Dusseldorf;FC St. Pauli;0;2;2
16.03.2014;SpVgg Greuther Furth;1. FC Union Berlin;1;1;2
16.03.2014;SV Sandhausen;Arminia Bielefeld;1;0;2
17.03.2014;1. FC Kaiserslautern;1. FC Koln;0;0;2
21.03.2014;1. FC Union Berlin;SC Paderborn 07;1;1;2
21.03.2014;VfL Bochum;SV Sandhausen;0;1;2
21.03.2014;Dynamo Dresden;SpVgg Greuther Furth;1;1;2
22.03.2014;FSV Frankfurt;Fortuna Dusseldorf;0;0;2
22.03.2014;1. FC Koln;VfR Aalen;0;0;2
22.03.2014;FC St. Pauli;FC Ingolstadt 04;0;0;2
23.03.2014;1860 Munchen;1. FC Kaiserslautern;0;1;2
23.03.2014;Karlsruher SC;Erzgebirge Aue;1;1;2
23.03.2014;Arminia Bielefeld;Energie Cottbus;1;3;2
25.03.2014;SpVgg Greuther Furth;Fortuna Dusseldorf;4;1;2
25.03.2014;VfR Aalen;Dynamo Dresden;1;1;2
25.03.2014;SV Sandhausen;1. FC Union Berlin;2;1;2
25.03.2014;SC Paderborn 07;FC St. Pauli;3;0;2
25.03.2014;FC Ingolstadt 04;VfL Bochum;3;0;2
26.03.2014;1. FC Kaiserslautern;Arminia Bielefeld;1;1;2
26.03.2014;1. FC Koln;Karlsruher SC;2;0;2
26.03.2014;Energie Cottbus;1860 Munchen;1;2;2
26.03.2014;Erzgebirge Aue;FSV Frankfurt;2;1;2
28.03.2014;Fortuna Dusseldorf;FC Ingolstadt 04;0;0;2
28.03.2014;FC St. Pauli;SpVgg Greuther Furth;2;2;2
28.03.2014;Dynamo Dresden;SV Sandhausen;0;0;2
29.03.2014;VfL Bochum;Erzgebirge Aue;1;0;2
29.03.2014;Karlsruher SC;1. FC Kaiserslautern;2;2;2
30.03.2014;FSV Frankfurt;SC Paderborn 07;1;3;2
30.03.2014;1860 Munchen;1. FC Koln;0;1;2
30.03.2014;Arminia Bielefeld;VfR Aalen;0;0;2
31.03.2014;1. FC Union Berlin;Energie Cottbus;2;0;2
04.04.2014;Energie Cottbus;Dynamo Dresden;0;0;2
04.04.2014;VfR Aalen;FSV Frankfurt;2;1;2
04.04.2014;SC Paderborn 07;Fortuna Dusseldorf;1;2;2
05.04.2014;1. FC Koln;Arminia Bielefeld;2;0;2
05.04.2014;SV Sandhausen;FC St. Pauli;2;3;2
06.04.2014;1. FC Kaiserslautern;VfL Bochum;1;1;2
06.04.2014;1860 Munchen;Karlsruher SC;0;3;2
06.04.2014;Erzgebirge Aue;1. FC Union Berlin;3;2;2
07.04.2014;FC Ingolstadt 04;SpVgg Greuther Furth;0;0;2
11.04.2014;1. FC Union Berlin;1. FC Koln;1;2;2
11.04.2014;FC St. Pauli;1. FC Kaiserslautern;2;3;2
11.04.2014;FC Ingolstadt 04;SC Paderborn 07;1;2;2
12.04.2014;SpVgg Greuther Furth;Erzgebirge Aue;2;1;2
12.04.2014;Arminia Bielefeld;Karlsruher SC;0;0;2
13.04.2014;Fortuna Dusseldorf;VfR Aalen;3;1;2
13.04.2014;FSV Frankfurt;SV Sandhausen;0;3;2
13.04.2014;VfL Bochum;Energie Cottbus;2;1;2
14.04.2014;Dynamo Dresden;1860 Munchen;4;2;2
17.04.2014;Energie Cottbus;FC St. Pauli;1;1;2
17.04.2014;SV Sandhausen;Fortuna Dusseldorf;0;3;2
17.04.2014;Erzgebirge Aue;Dynamo Dresden;2;0;2
19.04.2014;1860 Munchen;Arminia Bielefeld;2;1;2
19.04.2014;Karlsruher SC;1. FC Union Berlin;3;2;2
20.04.2014;1. FC Kaiserslautern;FSV Frankfurt;3;2;2
20.04.2014;VfR Aalen;FC Ingolstadt 04;0;0;2
20.04.2014;SC Paderborn 07;SpVgg Greuther Furth;2;2;2
21.04.2014;1. FC Koln;VfL Bochum;3;1;2
25.04.2014;SpVgg Greuther Furth;1860 Munchen;1;2;2
25.04.2014;FC Ingolstadt 04;1. FC Koln;1;1;2
25.04.2014;VfL Bochum;Arminia Bielefeld;1;4;2
26.04.2014;Fortuna Dusseldorf;Erzgebirge Aue;4;0;2
26.04.2014;FSV Frankfurt;Energie Cottbus;3;1;2
27.04.2014;FC St. Pauli;VfR Aalen;0;3;2
27.04.2014;SC Paderborn 07;SV Sandhausen;2;0;2
27.04.2014;Dynamo Dresden;Karlsruher SC;2;2;2
28.04.2014;1. FC Union Berlin;1. FC Kaiserslautern;1;1;2
04.05.2014;1. FC Kaiserslautern;Dynamo Dresden;4;0;2
04.05.2014;1. FC Koln;FC St. Pauli;4;0;2
04.05.2014;1860 Munchen;VfL Bochum;2;0;2
04.05.2014;Energie Cottbus;SpVgg Greuther Furth;0;6;2
04.05.2014;VfR Aalen;1. FC Union Berlin;3;0;2
04.05.2014;SV Sandhausen;FC Ingolstadt 04;0;2;2
04.05.2014;Erzgebirge Aue;SC Paderborn 07;0;2;2
04.05.2014;Karlsruher SC;Fortuna Dusseldorf;2;2;2
04.05.2014;Arminia Bielefeld;FSV Frankfurt;0;0;2
11.05.2014;Fortuna Dusseldorf;1. FC Kaiserslautern;4;2;2
11.05.2014;SpVgg Greuther Furth;SV Sandhausen;2;0;2
11.05.2014;FSV Frankfurt;1. FC Koln;2;0;2
11.05.2014;1. FC Union Berlin;1860 Munchen;1;1;2
11.05.2014;FC St. Pauli;Erzgebirge Aue;2;2;2
11.05.2014;SC Paderborn 07;VfR Aalen;2;1;2
11.05.2014;FC Ingolstadt 04;Energie Cottbus;2;0;2
11.05.2014;VfL Bochum;Karlsruher SC;1;0;2
11.05.2014;Dynamo Dresden;Arminia Bielefeld;2;3;2
